id,question title,CPE,UVA,,,,,,,CPE,UVA
1,Vito's family,10406,10041,"(CPE10406, UVA10041)",10,CPE10406,UVA10041,10406,10041,10406,10041
2,Hashmat the brave warrior,10407,10055,"(CPE10407, UVA10055)",10,CPE10407,UVA10055,10407,10055,10407,10055
3,Primary Arithmetic,10404,10035,"(CPE10404, UVA10035)",10,CPE10404,UVA10035,10404,10035,10404,10035
4,The 3n + 1 problem,10400,100,"(CPE10400, UVA100)",10,CPE10400,UVA100,10400,100,10400,100
5,You can say 11,10460,10929,"(CPE10460, UVA10929)",10,CPE10460,UVA10929,10460,10929,10460,10929
6,Bangla Numbers,10414,10101,"(CPE10414, UVA10101)",10,CPE10414,UVA10101,10414,10101,10414,10101
7,List of Conquests,21924,10420,"(CPE21924, UVA10420)",10,CPE21924,UVA10420,21924,10420,21924,10420
8,What's Cryptanalysis?,10402,10008,"(CPE10402, UVA10008)",10,CPE10402,UVA10008,10402,10008,10402,10008
9,Decode the Mad man,10425,10222,"(CPE10425, UVA10222)",10,CPE10425,UVA10222,10425,10222,10425,10222
10,Problem J: Summing Digits,10473,11332,"(CPE10473, UVA11332)",10,CPE10473,UVA11332,10473,11332,10473,11332
11,Common Permutation,10567,10252,"(CPE10567, UVA10252)",10,CPE10567,UVA10252,10567,10252,10567,10252
12,Rotating Sentences,21914,490,"(CPE21914, UVA490)",10,CPE21914,UVA490,21914,490,21914,490
13,TeX Quotes,22131,272,"(CPE22131, UVA272)",10,CPE22131,UVA272,22131,272,22131,272
14,A - Doom's Day Algorithm,22801,12019,"(CPE22801, UVA12019)",10,CPE22801,UVA12019,22801,12019,22801,12019
15,Jolly Jumpers,10405,10038,"(CPE10405, UVA10038)",10,CPE10405,UVA10038,10405,10038,10405,10038
16,What is the Probability!!,10408,10056,"(CPE10408, UVA10056)",10,CPE10408,UVA10056,10408,10056,10408,10056
17,The Hotel with Infinite Rooms,10417,10170,"(CPE10417, UVA10170)",10,CPE10417,UVA10170,10417,10170,10417,10170
18,498??,10431,10268,"(CPE10431, UVA10268)",10,CPE10431,UVA10268,10431,10268,10431,10268
19,Odd Sum,10453,10783,"(CPE10453, UVA10783)",10,CPE10453,UVA10783,10453,10783,10453,10783
20,Beat the Spread!,10454,10812,"(CPE10454, UVA10812)",10,CPE10454,UVA10812,10454,10812,10454,10812
21,Symmetric Matrix,10478,11349,"(CPE10478, UVA11349)",10,CPE10478,UVA11349,10478,11349,10478,11349
22,Square Numbers,10480,11461,"(CPE10480, UVA11461)",10,CPE10480,UVA11461,10480,11461,10480,11461
23,B2-Sequence,23621,11063,"(CPE23621, UVA11063)",10,CPE23621,UVA11063,23621,11063,23621,11063
